Stock,Headline,sentiment
AAPL,"If You Had Invested $10,000 in Apple When the iPhone Came Out, This Is How Much You Would Have Today",Neutral
AAPL,"Got $1,000? 5 Buffett Stocks to Buy and Hold Forever",Neutral
AAPL,Can Apple Stock Double in 5 Years? Here's What It Would Take.,Neutral
AAPL,Tech Earnings Were Strong. Why Stocks Slipped Into a Correction Anyway.,Neutral
AAPL,Qualcomm Is Gunning for a Piece of Intel's Lunch -- Time to Buy Qualcomm Stock?,Neutral
AAPL,Google CEO Sundar Pichai defends search deal with Apple in landmark antitrust trial,Negative
AAPL,Is Apple Stock A Buy Before September-Quarter Earnings Report?,Neutral
AAPL,How to use options to hedge your potfolio,Neutral
AAPL,"Amazon, Microsoft, Alphabet, Apple and Nvidia are part of Zacks Earnings Preview",Neutral
AAPL,Top 5 things to watch in markets in the week ahead,Neutral
AAPL,These 3 Stocks Might Be Getting a Little Too Expensive,Negative
AAPL,Q4 2023 Zedge Inc Earnings Call,Neutral
AAPL,Apple Q4 Preview: Should Investors Take a Bite?,Neutral
AAPL,Apple's China problem: how its ticket to success has become a liability,Negative
AAPL,Google CEO defends paying Apple and others to make Google the default search engine on devices,Negative
AAPL,"Dan Niles looking to re-short Tesla, Apple: Insider trades & hedge funds weekly",Neutral
AAPL,Google CEO Defends Apple Search Partnership in Historic Antitrust Trial,Negative
AAPL,Weekly Roundup,Neutral
AAPL,"Zedge, Inc. (AMEX:ZDGE) Q4 2023 Earnings Call Transcript",Neutral
AAPL,The Government's Case Against Google and How AI May Be Affecting Hiring,Neutral
AAPL,I Can Hear You Fine. Is It Rude That Im Still Wearing AirPods?,Neutral
AAPL,Fed and BoE set interest rates and oil majors report,Neutral
AAPL,"Final Trades: AAPL, META, CVX and ANET",Neutral
AAPL,How the iMac became iconic,Neutral
AAPL,"Google claims it doesnt have a monopoly over search, but pays $26 billion to Apple and others for default status, bombshell testimony reveals",Neutral
AAPL,The Nasdaq's fallen into a correction  what investors should consider,Negative
AAPL,New revelation in Google antitrust case could make it tough for company,Negative
AAPL,Apple Is Holding a Halloween Event Today. What to Expect.,Neutral
AAPL,"Fed decision, Apple earnings, jobs data: What to watch",Neutral
AAPL,"Fed meeting, Apple earnings: What to know this week",Neutral
AAPL,"Apple, Intel, AMD, Qualcomm, and NVIDIA: Is the CPU Market Overcrowded or Just Heating Up?",Negative
AAPL,"Alphabet FY3Q23 Earnings, Microsoft FY1Q24 Earnings",Neutral
AAPL,Warning Signs Grow Apple Is Losing China Consumers to Huawei,Negative
AAPL,"Apple's response to patent ruling is 'loaded and outrageous', says Masimo CEO",Negative
AAPL,Apple earnings preview: Investors brace for iPhone 15 headwinds and sales guidance,Negative
AAPL,"Apple has a China problem when it comes to phone sales, says Deepwater's Gene Munster",Negative
AAPL,Here's Why Apple (AAPL) Fell in Q3,Negative
AAPL,"For China, Bullying Apple Suppliers Could Backfire Badly",Negative
AAPL,Apple Stock Is Struggling on iPhone Gloom. Now It Faces Another Device Headache.,Negative
AAPL,'Magnificent Seven' Stock Meltdown Costs Investors $1.8 Trillion,Negative
AAPL,Wall Street Cuts Estimates For Apple's December Quarter,Negative
